"Table 16--Byproduct feeds: Average wholesale price, bulk, specified markets (dollars per ton)",,,,,,,,,,,,,,
"Commodity and
mkt yr 1/",,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Avg 2/
"Alfalfa meal, dehydrated, 17% protein, Kansas City, MO",1980/81,,,,,,,,,,,,106.00,106.00
,1981/82,109.40,110.20,110.10,109.40,105.40,99.90,99.80,105.80,105.90,103.80,102.50,105.40,105.63
,1982/83,109.60,115.50,118.80,119.60,121.10,121.10,131.10,136.10,115.70,114.80,120.10,124.00,120.63
,1983/84,129.00,132.00,134.00,140.00,144.00,141.00,142.00,143.00,117.00,110.00,109.00,112.00,129.42
,1984/85,114.00,117.00,115.00,111.00,105.00,95.00,94.00,92.00,87.00,87.00,86.00,86.00,99.08
,1985/86,89.00,93.00,95.00,98.00,98.00,99.00,104.00,100.00,92.00,80.00,81.40,84.20,92.80
,1986/87,86.60,90.10,94.50,96.40,95.60,94.60,96.60,96.00,90.00,91.00,92.00,94.00,93.12
,1987/88,100.00,102.00,104.00,105.00,107.00,106.00,105.00,103.00,113.00,126.00,128.00,130.50,110.79
,1988/89,133.50,136.40,138.80,139.00,138.00,141.00,145.50,149.20,134.00,129.25,125.00,124.25,136.16
,1989/90,125.00,129.50,133.75,136.00,136.25,136.00,133.75,126.80,118.50,113.20,111.00,110.00,125.81
,1990/91,110.00,111.25,112.00,112.00,112.00,111.25,112.20,115.00,109.00,105.40,103.00,103.00,109.68
,1991/92,103.00,103.00,104.00,104.00,104.00,102.60,101.75,98.75,98.00,97.75,97.00,96.20,100.84
,1992/93,99.50,102.75,106.60,111.00,112.00,115.40,124.10,125.00,111.00,109.00,113.10,118.75,112.35
,1993/94,127.75,133.90,137.50,136.90,134.75,130.00,125.75,121.50,112.10,109.90,113.00,115.40,124.87
,1994/95,119.90,121.60,122.00,121.00,118.30,115.90,116.75,118.10,117.30,115.40,116.40,118.10,118.40
,1995/96,120.60,122.90,124.10,124.40,124.50,124.50,133.60,143.70,140.30,136.10,134.90,134.60,130.35
,1996/97,138.70,140.10,142.10,144.50,146.80,147.00,147.00,147.50,144.70,138.00,138.40,138.00,142.73
,1997/98,139.50,140.63,140.90,146.80,139.30,132.80,123.10,118.50,113.60,111.70,110.60,108.30,127.14
,1998/99,107.50,107.50,107.10,106.90,104.70,101.90,101.50,100.10,97.10,96.24,94.07,93.93,101.55
,1999/00,93.40,93.50,94.50,95.48,95.35,95.20,95.74,96.00,97.64,100.40,101.61,112.25,97.59
,2000/01,119.16,127.50,127.16,135.45,140.37,142.82,145.00,143.23,133.19,139.67,148.91,154.29,138.06
,2001/02,156.00,156.00,156.00,155.15,154.34,152.38,147.18,145.09,144.65,151.80,165.02,165.00,154.05
,2002/03,165.00,165.00,165.00,163.30,161.30,159.40,155.90,147.00,137.75,130.00,121.30,121.30,149.35
,2003/04,123.15,125.00,124.93,122.53,125.00,124.02,124.02,121.67,120.00,120.00,120.00,120.00,122.53
,2004/05,120.00,120.00,120.00,120.00,120.39,127.50,137.02,137.50,136.23,131.68,134.09,138.70,128.59
,2005/06,147.62,148.00,148.95,151.50,159.05,164.20,165.00,165.50,170.14,179.30,182.27,185.95,163.96
,2006/07,184.00,192.55,189.26,190.50,194.00,202.52,210.06,215.80,216.10,204.39,216.91,204.53,201.72
,2007/08,204.80,208.14,251.50,210.12,221.10,226.50,227.00,228.48,232.43,239.68,246.50,248.40,228.72
,2008/09,251.50,251.50,251.50,251.38,257.34,243.32,237.81,230.25,223.43,217.26,213.29,206.50,236.26
,2009/10,206.50,208.50,208.93,216.89,209.00,209.00,212.93,213.00,215.36,213.88,211.84,208.29,211.18
,2010/11,206.40,204.12,204.00,205.38,208.21,213.33,215.75,218.50,243.95,257.50,268.83,282.55,227.38
,2011/12,301.17,311.64,324.50,329.00,332.00,333.50,334.00,333.32,333.00,338.95,360.61,365.77,333.12
,2012/13,366.81,368.38,372.50,371.31,368.56,365.25,370.57,372.50,370.75,363.93,362.50,360.88,367.83
,2013/14,360.00,360.00,358.93,353.10,341.58,335.00,335.24,335.95,340.00,334.89,323.22,311.91,340.82
,2014/15,298.05,293.56,296.31,302.50,298.82,295.91,287.50,285.50,276.66,265.46,277.50,277.50,287.94
,2015/16,277.50,279.50,277.50,279.61,273.48,279.77,271.79,262.74,252.50,250.00,250.00,237.39,265.98
,2016/17,235.00,229.80,223.24,226.38,227.21,222.79,238.00,236.75,228.34,223.50,225.29,226.38,228.56
,2017/18,226.55,225.50,222.50,237.16,240.50,244.43,249.31,255.22,251.13,255.00,253.00,255.50,242.98
,2018/19,252.75,258.00,255.50,271.00,2.68,,,,,,,,
,,,,,,,,,,,,,,
"Corn gluten feed, 21% protein, Midwest",1980/81,,,,,,,,,,,,108.50,108.50
,1981/82,110.00,110.00,113.80,117.00,117.00,112.00,112.00,112.00,112.00,114.25,110.40,115.00,112.95
,1982/83,109.50,111.20,120.00,125.00,117.50,112.80,110.00,111.75,114.00,120.00,127.00,135.00,117.81
,1983/84,140.60,136.00,136.25,135.00,118.75,111.25,113.75,106.00,83.75,79.70,78.75,69.40,109.10
,1984/85,76.00,80.10,80.60,79.80,73.90,61.60,59.70,63.25,68.50,74.10,78.00,81.25,73.07
,1985/86,86.60,89.00,91.80,72.50,89.30,97.10,63.00,90.00,87.50,81.30,88.10,97.80,86.17
,1986/87,105.50,109.75,99.20,97.90,98.10,99.30,98.40,96.90,93.80,91.25,92.40,96.50,98.25
,1987/88,98.50,106.00,110.00,118.10,120.60,119.00,118.10,116.90,129.50,135.00,120.00,119.40,117.59
,1988/89,119.40,123.10,125.00,127.10,120.90,118.90,120.40,112.50,108.00,107.00,106.10,108.00,116.37
,1989/90,110.00,109.75,110.40,110.30,108.75,108.75,102.10,95.00,81.25,83.40,82.25,83.50,98.79
,1990/91,92.60,94.25,98.40,114.20,103.75,114.25,101.70,95.98,94.25,92.00,90.50,95.60,98.96
,1991/92,104.60,106.10,107.00,107.40,108.50,101.50,95.50,95.40,94.40,99.40,102.50,107.30,102.47
,1992/93,108.50,106.10,115.20,108.10,107.00,89.00,80.50,81.60,82.70,81.90,83.50,82.50,93.88
,1993/94,80.90,85.30,90.50,92.40,87.60,88.60,89.90,91.00,91.25,92.00,91.50,90.40,89.28
,1994/95,89.25,86.85,84.30,82.20,81.00,82.10,77.40,78.50,79.90,81.90,79.40,81.60,82.03
,1995/96,98.40,118.60,119.10,127.00,122.10,122.00,127.40,138.40,122.10,109.30,111.60,115.75,119.31
,1996/97,102.30,97.50,99.50,100.25,102.75,100.90,95.90,83.60,72.25,70.40,75.50,81.10,90.16
,1997/98,73.75,73.25,78.20,76.90,76.50,69.30,64.00,64.60,61.90,58.75,57.50,51.50,67.18
,1998/99,56.90,66.10,74.40,75.90,62.50,56.00,54.25,56.90,57.90,51.75,54.30,55.50,60.20
,1999/00,58.40,62.80,59.00,55.50,51.90,50.25,51.75,51.10,48.88,45.25,43.20,46.38,52.03
,2000/01,51.00,57.75,66.00,73.40,65.87,60.63,54.13,52.10,54.75,59.30,65.38,66.25,60.55
,2001/02,66.40,66.25,65.00,60.00,56.50,55.00,53.60,53.63,55.00,57.10,61.75,65.38,59.63
,2002/03,67.00,68.50,70.00,68.25,66.50,66.25,64.80,62.50,62.90,59.50,61.60,65.10,65.24
,2003/04,76.90,100.00,109.50,101.63,99.50,83.20,83.20,84.25,70.50,64.50,60.60,59.88,82.81
,2004/05,54.75,48.90,53.25,53.63,51.38,51.90,51.75,52.80,50.63,50.38,51.90,47.13,51.53
,2005/06,51.75,50.10,52.63,55.75,57.75,61.63,57.88,60.38,58.25,56.13,56.00,55.90,56.18
,2006/07,60.20,68.63,69.88,92.00,85.38,84.94,72.82,59.50,62.25,66.40,75.00,85.50,73.54
,2007/08,105.00,129.38,134.17,135.60,128.75,117.19,129.10,114.38,112.00,125.70,108.13,99.30,119.89
,2008/09,91.25,90.63,79.60,96.13,98.88,75.40,66.63,68.25,78.70,62.63,61.13,59.80,77.42
,2009/10,73.13,84.88,89.70,95.25,91.00,67.30,52.00,49.50,49.00,58.38,82.20,103.00,74.61
,2010/11,129.75,141.80,136.25,138.88,149.25,150.10,151.13,149.40,149.75,148.89,160.60,183.25,149.09
,2011/12,173.75,168.20,155.00,138.00,133.75,129.38,128.75,137.80,138.00,192.20,252.50,243.38,165.89
,2012/13,226.50,209.75,203.34,204.10,209.88,204.13,176.70,157.25,151.00,140.60,123.13,135.50,178.49
,2013/14,157.50,158.38,168.00,165.00,167.50,177.63,166.60,157.00,131.88,113.70,109.25,98.70,147.59
,2014/15,90.13,105.13,143.30,135.25,117.25,107.20,83.13,72.25,74.40,91.25,88.75,95.50,100.29
,2015/16,96.00,109.63,113.13,109.63,102.38,87.00,73.25,87.00,107.13,95.01,90.30,85.38,96.32
,2016/17,77.00,83.50,92.83,97.50,88.13,87.13,75.00,71.00,68.38,71.35,73.10,75.00,79.99
,2017/18,80.70,93.00,96.25,98.80,106.25,105.50,,,,,,,96.75
,,,,,,,,,,,,,,
"Corn gluten meal, 60% protein, Midwest",1980/81,,,,,,,,,,,,260.00,260.00
,1981/82,245.25,244.40,260.50,275.00,271.25,243.00,225.00,225.00,228.00,237.50,229.50,221.25,242.14
,1982/83,207.50,215.00,246.25,265.00,267.50,251.00,238.75,235.00,213.00,242.50,300.00,326.25,250.65
,1983/84,308.75,283.00,275.00,284.00,258.75,245.00,256.25,271.00,266.25,236.75,218.75,213.80,259.78
,1984/85,211.30,215.60,240.00,232.00,215.60,203.75,191.00,172.50,169.20,174.50,198.10,211.25,202.90
,1985/86,208.70,208.75,219.50,219.40,208.10,198.75,192.90,210.60,216.90,211.50,206.25,208.00,209.11
,1986/87,222.50,230.60,241.50,232.20,206.25,208.50,213.10,226.40,267.80,268.75,240.60,259.50,234.81
,1987/88,278.75,305.60,313.50,309.40,283.75,287.00,275.60,278.75,355.50,380.00,310.00,309.40,307.27
,1988/89,313.75,293.00,277.50,281.00,288.10,280.60,275.60,272.00,270.63,271.25,257.00,267.00,278.95
,1989/90,313.00,298.75,280.00,81.00,260.90,238.75,238.10,240.50,215.60,222.00,223.75,229.40,236.81
,1990/91,232.00,231.90,240.60,247.00,239.40,247.50,236.70,226.90,230.00,236.20,254.60,269.40,241.02
,1991/92,292.50,296.25,287.50,267.50,275.60,272.00,247.50,246.25,248.50,243.75,242.75,266.00,265.51
,1992/93,269.40,266.90,287.00,283.10,294.40,295.50,284.40,276.90,276.50,300.60,314.50,305.60,287.90
,1993/94,296.20,305.75,316.25,309.40,296.25,288.50,278.10,263.50,263.75,263.75,252.30,235.60,280.78
,1994/95,226.90,232.50,239.40,230.50,221.25,215.60,206.25,196.50,208.10,218.75,232.00,250.00,223.15
,1995/96,290.50,326.90,331.90,351.00,342.50,341.25,336.50,343.10,315.00,308.50,295.00,329.40,325.96
,1996/97,344.00,340.00,342.50,336.25,335.60,340.00,342.50,355.75,349.40,337.00,345.60,355.00,343.63
,1997/98,343.75,351.25,350.50,321.90,295.00,270.50,238.10,236.25,225.60,252.50,245.00,210.00,278.36
,1998/99,227.50,313.10,291.50,257.50,222.50,198.00,192.50,201.25,209.50,241.25,252.50,258.13,238.77
,1999/00,265.00,250.00,234.00,236.25,248.50,243.13,246.25,240.00,223.75,218.75,211.00,225.00,236.80
,2000/01,247.00,263.75,273.13,284.50,267.50,253.75,228.75,231.00,237.50,205.50,263.75,268.13,252.02
,2001/02,260.00,258.13,257.50,236.00,221.88,219.38,217.00,217.38,230.00,254.00,275.00,272.50,243.23
,2002/03,268.50,256.25,255.90,239.75,234.00,230.40,226.20,235.00,230.40,223.50,226.90,246.90,239.48
,2003/04,239.48,321.88,337.50,360.63,371.25,383.00,390.38,344.10,332.50,332.50,267.50,256.88,328.13
,2004/05,241.25,238.00,253.63,245.63,232.50,240.50,246.25,274.60,322.13,334.25,327.70,294.75,270.93
,2005/06,300.00,319.00,319.75,303.75,259.38,263.75,250.63,251.70,250.00,240.00,229.25,237.50,268.73
,2006/07,272.20,306.25,314.31,333.00,346.88,361.50,363.33,344.00,352.75,398.50,404.38,414.38,350.96
,2007/08,472.50,495.63,540.79,545.00,543.13,561.88,547.00,529.00,524.38,554.50,505.00,495.50,526.19
,2008/09,464.13,406.25,389.00,469.38,539.38,424.38,443.13,564.38,630.00,532.50,495.00,508.50,488.84
,2009/10,606.25,595.00,573.50,582.50,594.94,541.70,492.13,455.63,445.00,441.25,451.50,464.38,520.32
,2010/11,501.88,518.00,520.00,524.06,533.75,543.30,556.25,556.00,567.50,556.25,559.00,550.63,540.55
,2011/12,524.38,487.00,441.25,433.50,448.75,487.50,498.75,533.00,579.00,629.00,718.75,721.88,541.90
,2012/13,753.50,716.25,673.34,599.50,584.38,581.88,540.50,480.63,550.00,591.00,565.63,573.75,600.86
,2013/14,601.25,631.25,638.13,625.00,668.13,744.38,784.00,761.25,694.50,574.00,572.88,587.50,656.86
,2014/15,549.38,581.88,613.50,632.50,631.25,613.00,575.63,549.38,571.60,560.00,550.63,525.00,579.48
,2015/16,509.38,477.50,482.25,452.50,457.50,445.50,434.00,464.10,568.13,573.13,507.20,469.38,486.71
,2016/17,466.13,477.50,501.67,502.50,516.50,505.63,501.13,485.30,475.75,467.88,475.50,469.25,487.06
,2017/18,469.30,487.24,482.88,477.60,483.13,524.75,,,,,,,487.48
,,,,,,,,,,,,,,
"Cottonseed meal, 41% solvent, Memphis, TN",1980/81,,,,,,,,,,,,166.50,166.50
,1981/82,150.00,150.60,179.00,184.70,159.41,142.50,150.60,154.90,160.50,163.10,161.70,159.20,159.68
,1982/83,151.25,168.00,181.25,185.60,183.75,175.50,187.50,185.00,182.50,198.70,241.00,238.00,189.84
,1983/84,220.00,219.00,214.00,213.00,178.00,187.00,194.00,19.00,178.00,169.00,169.00,152.00,176.00
,1984/85,115.00,102.00,119.00,110.00,106.00,89.00,83.00,78.00,94.00,100.00,100.00,97.00,99.42
,1985/86,117.00,129.00,128.00,146.00,129.00,116.00,129.00,134.00,132.00,137.00,150.60,152.50,133.34
,1986/87,141.90,157.50,160.50,146.25,138.10,128.00,133.80,150.00,155.00,167.00,164.00,142.00,148.67
,1987/88,151.00,195.00,195.00,188.00,160.00,141.00,143.00,148.00,230.00,224.00,181.00,205.00,180.08
,1988/89,212.50,203.00,199.40,200.50,191.25,196.25,184.40,161.50,163.30,167.50,172.00,190.00,186.80
,1989/90,181.25,180.00,180.00,160.00,150.00,146.25,150.00,155.00,147.50,161.50,169.50,178.75,163.31
,1990/91,163.00,147.50,141.25,125.00,118.10,125.00,122.50,118.10,117.20,127.50,130.90,133.10,130.76
,1991/92,131.00,144.40,162.00,156.25,143.10,124.25,121.25,127.50,132.50,133.75,146.90,163.00,140.49
,1992/93,154.40,157.50,174.50,164.40,149.40,153.50,149.00,143.10,153.00,170.30,178.50,193.75,161.78
,1993/94,173.10,181.00,180.00,170.30,173.10,174.00,166.25,157.75,154.10,152.50,144.50,145.00,164.30
,1994/95,134.40,120.50,114.20,106.75,97.50,100.30,98.10,92.75,108.75,116.90,116.50,137.60,112.02
,1995/96,153.25,165.00,185.80,208.80,202.80,195.60,206.25,191.25,192.20,201.75,193.10,193.10,190.74
,1996/97,183.25,196.60,224.50,207.20,183.75,189.10,189.10,193.75,190.30,170.75,176.25,192.00,191.38
,1997/98,189.10,189.10,190.50,153.10,139.10,128.70,116.25,105.00,126.00,145.60,130.30,115.60,144.03
,1998/99,106.50,107.90,119.75,110.60,101.25,106.90,110.90,108.75,114.50,115.00,100.65,111.92,109.55
,1999/00,111.80,112.00,124.20,126.88,130.50,129.38,125.00,123.25,130.63,131.88,130.50,153.12,127.43
,2000/01,150.00,142.50,160.83,184.00,148.75,138.13,140.00,132.50,126.88,129.69,130.63,131.25,142.93
,2001/02,131.25,128.13,134.17,133.13,125.00,131.88,124.30,120.88,137.50,151.50,159.75,156.38,136.16
,2002/03,150.10,150.00,156.40,157.40,143.60,142.40,142.40,131.75,131.50,143.00,151.70,153.20,146.12
,2003/04,163.50,185.00,,188.00,193.00,205.10,219.68,185.00,185.40,177.50,156.20,142.75,181.92
,2004/05,126.75,119.00,117.00,112.50,131.03,110.80,108.00,110.40,138.75,151.00,143.00,140.00,125.69
,2005/06,133.13,132.50,170.00,172.50,152.50,148.75,144.38,131.50,135.00,132.50,134.50,139.00,143.86
,2006/07,132.40,131.88,152.50,161.00,174.75,185.50,148.25,137.00,131.25,137.50,144.75,167.50,150.36
,2007/08,183.40,176.25,196.67,273.60,292.00,245.00,230.00,240.50,293.25,333.00,290.00,292.00,253.81
,2008/09,238.75,225.00,229.50,237.50,236.25,213.00,212.50,236.25,306.00,305.00,315.00,308.00,255.23
,2009/10,250.00,260.00,283.75,286.25,253.75,213.00,175.00,171.25,176.00,183.75,198.00,200.00,220.90
,2010/11,225.31,235.00,240.63,245.63,258.75,256.50,240.00,275.50,307.50,313.13,342.50,345.63,273.84
,2011/12,255.63,240.50,220.63,213.00,190.00,225.00,240.63,270.00,294.38,350.50,407.50,393.75,275.13
,2012/13,343.00,376.88,345.00,327.50,279.38,301.88,314.50,311.88,329.38,344.50,330.00,374.38,331.52
,2013/14,355.00,345.00,401.88,378.34,388.75,401.25,405.50,416.88,412.50,359.50,310.00,360.63,377.93
,2014/15,346.88,313.13,334.38,313.75,302.50,310.50,288.13,274.38,281.00,299.38,295.63,293.50,304.43
,2015/16,292.50,291.88,265.00,248.75,238.13,216.50,207.50,242.50,284.00,280.00,280.00,285.00,260.98
,2016/17,241.88,221.00,217.50,223.50,221.88,210.63,195.00,179.50,179.38,200.84,198.50,213.75,208.61
,2017/18,229.00,228.75,232.50,259.00,303.13,323.13,263.13,262.50,257.50,253.13,260.00,258.75,260.88
,2018/19,249.00,240.00,243.50,247.50,235.00,,,,,,,,
,,,,,,,,,,,,,,
"Feather meal, high protein, AR points",1982/83,,,,,,,,,,,,311.00,311.00
,1983/84,274.00,292.00,305.00,305.00,273.00,282.00,273.00,233.00,205.00,184.00,184.00,180.00,249.17
,1984/85,177.00,166.00,175.00,163.00,150.00,107.00,104.00,81.00,102.00,123.00,114.00,129.00,132.58
,1985/86,160.00,153.00,151.00,153.00,125.00,136.00,127.00,133.00,147.00,147.00,150.30,153.00,144.61
,1986/87,155.30,170.60,187.75,145.00,141.25,139.00,138.10,138.00,159.00,153.00,179.00,187.00,157.75
,1987/88,203.00,221.00,286.00,265.00,230.00,225.00,219.00,224.00,325.00,279.00,252.00,277.80,250.57
,1988/89,280.60,251.00,286.90,298.00,282.50,285.00,260.00,213.00,215.50,242.50,202.60,225.00,253.55
,1989/90,227.00,246.25,260.00,237.00,207.20,199.40,207.50,182.40,170.50,181.00,176.90,186.25,206.78
,1990/91,202.00,223.75,227.00,207.50,167.50,204.50,206.00,189.40,170.75,173.20,178.80,202.50,196.08
,1991/92,198.80,205.00,227.50,221.40,209.75,226.00,198.10,191.25,195.20,192.50,201.75,223.80,207.59
,1992/93,240.00,261.25,276.00,271.25,265.00,235.50,246.75,227.50,223.20,256.25,245.50,267.50,251.31
,1993/94,275.00,273.50,293.75,292.50,247.50,242.10,215.60,211.90,213.75,191.25,199.60,226.25,240.23
,1994/95,210.60,189.20,,191.00,164.40,156.70,142.50,146.90,159.25,158.10,164.40,192.50,170.50
,1995/96,219.00,250.40,333.75,290.00,256.90,265.83,262.50,235.60,260.60,274.50,284.10,306.70,269.99
,1996/97,319.20,359.50,389.00,368.75,300.30,318.75,307.50,302.50,283.13,289.75,355.00,355.00,329.03
,1997/98,347.50,311.25,307.50,242.50,193.75,210.00,208.75,198.10,150.00,190.88,211.25,159.90,227.62
,1998/99,172.50,171.70,165.60,165.00,157.50,152.10,163.30,170.30,169.38,166.63,164.06,174.63,166.06
,1999/00,191.67,202.00,215.00,,188.20,205.00,192.00,199.00,199.94,200.25,195.50,253.50,203.82
,2000/01,250.60,235.00,250.00,257.92,231.50,208.13,,191.67,203.33,228.00,251.25,247.50,232.26
,2001/02,219.00,200.80,205.60,192.50,181.90,198.75,190.75,172.50,191.25,222.50,263.10,249.40,207.34
,2002/03,225.50,231.25,232.50,215.70,170.00,218.30,212.50,179.20,175.60,207.50,211.70,236.90,209.72
,2003/04,254.20,290.83,290.83,290.83,,247.00,247.00,,,,,,270.12
,2005/06,,,243.33,282.50,275.63,269.17,255.00,222.50,215.00,215.00,218.75,233.33,243.02
,2006/07,250.00,273.75,293.33,274.17,262.88,292.50,292.50,280.00,,253.13,271.88,320.50,278.60
,2007/08,346.50,,375.00,397.50,460.00,541.75,439.00,337.50,358.13,493.75,513.33,549.17,437.42
,2008/09,415.00,350.00,323.33,312.50,375.00,469.17,495.00,532.50,548.50,532.50,536.67,586.67,456.40
,2009/10,581.67,581.67,479.00,494.17,506.67,463.00,435.63,475.00,498.50,506.88,381.67,352.50,479.70
,2010/11,411.56,421.67,392.50,355.83,395.00,482.00,568.75,556.67,455.00,446.67,544.17,536.67,463.87
,2011/12,442.50,376.50,392.50,484.90,503.13,458.33,473.13,540.00,551.88,578.80,694.38,848.75,528.73
,2012/13,716.50,574.38,613.33,662.00,704.38,720.63,609.00,552.13,585.63,681.75,634.38,631.25,640.45
,2013/14,498.75,552.50,638.75,740.00,703.34,701.88,719.50,690.00,610.00,676.50,695.00,693.00,659.93
,2014/15,707.50,652.50,616.88,531.25,441.25,522.50,581.75,483.13,418.00,440.63,540.00,498.75,536.18
,2015/16,399.17,376.88,328.75,255.00,226.88,287.50,383.75,312.00,330.00,406.88,444.50,303.25,337.88
,2016/17,331.25,338.00,365.60,418.00,438.55,404.75,371.25,372.20,396.82,377.50,405.50,410.00,385.79
,2017/18,363.00,350.00,348.34,347.50,386.88,453.75,,,,,,,374.91
,,,,,,,,,,,,,,
"Fish meal, 60% protein, domestic, East Coast",1980/81,,,,,,,,,,,,378.00,378.00
,1981/82,383.75,370.00,354.00,370.00,377.50,377.00,360.00,360.00,335.00,306.25,315.50,311.25,351.69
,1982/83,324.25,346.00,370.00,375.00,370.00,363.00,362.50,357.50,336.50,325.00,397.00,415.00,361.81
,1983/84,425.00,424.00,407.00,393.00,374.00,384.00,381.00,360.00,354.00,329.00,299.00,292.00,368.50
,1984/85,295.00,309.00,308.00,309.00,291.00,281.00,280.00,232.00,209.00,206.00,207.00,241.00,264.00
,1985/86,285.00,259.00,298.00,291.00,288.00,320.00,290.00,287.00,273.00,278.00,303.10,320.40,291.04
,1986/87,318.00,317.50,315.80,313.30,315.75,,,336.00,360.00,354.00,363.00,364.00,335.74
,1987/88,373.00,401.00,449.00,449.00,421.00,,426.00,456.00,554.00,571.00,528.00,530.00,468.91
,1988/89,523.10,505.00,471.90,463.50,436.60,427.50,413.10,395.00,383.75,396.90,397.00,382.50,432.99
,1989/90,381.00,384.40,386.25,388.50,389.40,387.50,320.60,341.00,313.75,309.50,316.25,333.30,354.29
,1990/91,364.00,363.13,316.90,,356.25,351.90,329.50,325.00,316.25,324.50,358.75,385.00,344.65
,1991/92,403.50,406.90,321.50,394.40,390.60,,348.00,364.20,365.80,345.00,300.70,404.00,367.69
,1992/93,412.50,412.50,410.00,,,,,333.75,334.00,375.00,365.50,344.40,373.46
,1993/94,326.90,342.50,361.25,350.00,350.00,344.00,326.25,330.00,327.50,318.30,321.50,321.90,335.01
,1994/95,326.25,346.50,356.70,360.50,367.50,377.20,393.30,362.50,359.40,355.00,363.50,375.00,361.95
,1995/96,424.50,536.25,547.50,537.00,451.40,517.50,469.50,445.00,425.00,435.60,453.10,480.60,476.91
,1996/97,503.00,500.90,502.50,493.75,498.75,510.60,484.00,512.50,515.00,491.25,502.50,517.50,502.69
,1997/98,550.60,583.10,602.50,597.50,580.00,564.50,550.60,,505.60,517.50,537.80,510.00,554.52
,1998/99,511.25,518.75,504.50,475.00,435.00,368.75,350.00,333.75,321.50,311.88,302.00,301.25,394.47
,1999/00,309.40,322.50,329.40,333.13,333.00,334.00,332.50,328.00,,339.38,332.00,337.50,330.07
,2000/01,352.50,375.00,402.50,392.50,401.25,403.13,400.50,393.13,399.35,405.00,414.38,435.00,397.85
,2001/02,447.00,458.75,470.00,476.50,485.00,525.60,527.50,487.50,,494.00,497.50,,486.94
,2002/03,497.50,,,,,,,,483.75,489.50,492.50,485.00,489.65
,2003/04,471.25,488.75,488.75,488.75,506.67,,,,522.50,522.50,,535.00,503.02
,2004/05,540.00,539.00,540.00,540.00,545.63,571.50,605.00,604.00,604.00,600.00,600.00,,571.74
,2006/07,,,,,,,,,,,860.00,856.25,858.13
,2007/08,855.00,847.50,830.00,844.00,865.00,888.75,900.00,900.00,900.00,905.00,905.00,882.00,876.85
,2008/09,856.25,787.50,780.00,760.00,750.00,747.00,744.00,768.75,799.00,815.00,825.63,906.50,794.97
,2009/10,"1,015.63","1,015.63","1,136.00","1,182.50","1,188.13","1,217.00","1,318.13","1,362.50","1,375.00","1,375.00","1,350.00","1,296.80","1,236.03"
,2010/11,"1,200.00","1,191.00","1,140.00","1,156.25","1,373.75","1,392.50","1,380.63","1,288.00","1,243.75","1,180.63","1,134.50","1,073.75","1,229.56"
,2011/12,"1,053.13","1,055.00","1,036.25","1,025.00","1,025.00","1,025.00","1,025.00","1,100.00","1,168.34","1,180.00","1,227.50","1,226.88","1,095.59"
,2012/13,"1,265.00","1,415.00","1,427.50","1,441.50","1,511.88","1,525.00","1,525.00","1,525.00","1,500.00","1,477.50","1,465.63","1,395.63","1,456.22"
,2013/14,"1,347.00","1,335.00","1,322.50","1,328.75","1,334.38","1,333.75","1,345.00","1,345.00","1,400.00","1,479.00","1,505.00","1,512.50","1,382.32"
,2014/15,"1,546.25","1,718.13","1,821.88","1,861.25","1,825.00","1,791.50","1,740.63","1,518.13","1,412.50","1,380.00","1,329.00","1,312.50","1,604.73"
,2015/16,"1,353.75","1,431.25","1,437.50","1,437.50","1,437.50","1,432.50","1,398.88","1,335.00","1,377.50","1,392.50","1,381.00","1,368.75","1,398.64"
,2016/17,"1,359.38","1,362.50","1,362.50","1,362.50","1,362.50","1,343.75","1,300.00","1,290.00","1,300.00","1,302.50","1,310.00","1,312.50","1,330.68"
,2017/18,"1,327.50","1,355.00","1,394.17","1,480.50","1,500.00","1,500.00","1,500.00","1,500.00",,,,,"1,444.65"
,,,,,,,,,,,,,,
"Distillers dried grains, Central IL",1999/00,,,,,,,,,,,73.30,73.50,73.40
,2000/01,74.40,78.25,86.38,101.80,104.38,100.00,92.50,89.80,79.75,81.60,89.63,90.63,89.09
,2001/02,92.30,88.50,87.00,80.90,79.50,74.75,72.90,72.88,74.63,77.30,88.13,95.75,82.04
,2002/03,100.70,98.63,95.13,91.00,89.50,93.88,91.60,71.97,83.88,82.10,82.25,91.70,89.36
,2003/04,103.75,123.75,130.10,121.13,120.38,121.10,118.67,110.13,93.50,87.25,87.40,84.50,108.47
,2004/05,79.13,73.50,72.50,71.00,68.25,66.70,64.88,64.40,64.13,67.50,69.90,66.88,69.06
,2005/06,63.38,64.60,73.13,83.70,86.25,85.88,90.63,92.00,85.75,80.00,77.00,74.63,79.74
,2006/07,84.50,106.40,123.63,127.50,132.50,131.25,117.63,107.00,108.00,111.20,112.50,114.50,114.72
,2007/08,121.40,138.38,147.34,170.00,166.00,168.63,177.50,175.88,174.25,174.10,153.13,139.90,158.87
,2008/09,126.63,125.13,108.30,119.63,133.13,126.70,130.50,142.50,148.60,107.88,99.38,96.70,122.09
,2009/10,122.00,126.38,127.30,123.75,114.63,107.60,106.00,117.88,108.30,108.75,111.80,132.88,117.27
,2010/11,155.38,166.70,172.25,180.63,199.88,203.70,214.50,204.80,214.25,208.50,207.00,207.13,194.56
,2011/12,207.50,216.10,192.25,194.20,203.00,213.88,213.88,223.40,220.63,272.90,301.63,293.38,229.39
